"DIA","MES","PERIODO","accidentes"
15,3,2016,120
16,3,2016,127
17,3,2016,161
18,3,2016,139
19,3,2016,135
20,3,2016,70
21,3,2016,66
22,3,2016,109
23,3,2016,119
24,3,2016,46
25,3,2016,28
26,3,2016,75
27,3,2016,62
28,3,2016,142
29,3,2016,110
30,3,2016,128
31,3,2016,115
1,4,2016,115
2,4,2016,71
3,4,2016,38
4,4,2016,124
5,4,2016,132
6,4,2016,149
7,4,2016,109
8,4,2016,183
9,4,2016,112
10,4,2016,89
11,4,2016,138
12,4,2016,132
13,4,2016,107
14,4,2016,127
15,4,2016,147
16,4,2016,108
17,4,2016,82
18,4,2016,144
19,4,2016,114
20,4,2016,131
21,4,2016,128
22,4,2016,83
23,4,2016,104
24,4,2016,85
25,4,2016,123
26,4,2016,119
27,4,2016,133
28,4,2016,131
29,4,2016,145
30,4,2016,120
1,5,2016,83
2,5,2016,105
3,5,2016,112
4,5,2016,118
5,5,2016,135
6,5,2016,160
7,5,2016,132
8,5,2016,84
9,5,2016,76
10,5,2016,128
11,5,2016,133
12,5,2016,126
13,5,2016,134
14,5,2016,100
15,5,2016,85
16,5,2016,134
17,5,2016,152
18,5,2016,117
19,5,2016,151
20,5,2016,116
21,5,2016,131
22,5,2016,68
23,5,2016,135
24,5,2016,119
25,5,2016,125
26,5,2016,132
27,5,2016,107
28,5,2016,108
29,5,2016,60
30,5,2016,56
31,5,2016,64
1,6,2016,107
2,6,2016,125
3,6,2016,116
4,6,2016,113
5,6,2016,62
6,6,2016,61
7,6,2016,132
8,6,2016,94
9,6,2016,106
10,6,2016,115
11,6,2016,125
12,6,2016,88
13,6,2016,122
14,6,2016,133
15,6,2016,126
16,6,2016,120
17,6,2016,115
18,6,2016,150
19,6,2016,81
20,6,2016,128
21,6,2016,129
22,6,2016,130
23,6,2016,146
24,6,2016,102
25,6,2016,104
26,6,2016,70
27,6,2016,109
28,6,2016,124
29,6,2016,92
30,6,2016,55
1,7,2016,103
2,7,2016,123
3,7,2016,53
4,7,2016,62
5,7,2016,118
6,7,2016,107
7,7,2016,123
8,7,2016,131
9,7,2016,156
10,7,2016,73
11,7,2016,110
12,7,2016,115
13,7,2016,119
14,7,2016,128
15,7,2016,165
16,7,2016,101
17,7,2016,84
18,7,2016,137
19,7,2016,130
20,7,2016,72
21,7,2016,110
22,7,2016,111
23,7,2016,129
24,7,2016,63
25,7,2016,125
26,7,2016,123
27,7,2016,158
28,7,2016,140
29,7,2016,142
30,7,2016,120
31,7,2016,77
1,8,2016,141
2,8,2016,144
3,8,2016,135
4,8,2016,152
5,8,2016,153
6,8,2016,133
7,8,2016,93
8,8,2016,115
9,8,2016,141
10,8,2016,132
11,8,2016,141
12,8,2016,124
13,8,2016,129
14,8,2016,62
15,8,2016,52
16,8,2016,142
17,8,2016,128
18,8,2016,154
19,8,2016,144
20,8,2016,123
21,8,2016,77
22,8,2016,131
23,8,2016,136
24,8,2016,121
25,8,2016,153
26,8,2016,139
27,8,2016,101
28,8,2016,74
29,8,2016,128
30,8,2016,105
31,8,2016,90
1,9,2016,117
2,9,2016,154
3,9,2016,136
4,9,2016,72
5,9,2016,124
6,9,2016,131
7,9,2016,119
8,9,2016,141
9,9,2016,109
10,9,2016,130
11,9,2016,64
12,9,2016,143
13,9,2016,113
14,9,2016,120
15,9,2016,150
16,9,2016,148
17,9,2016,132
18,9,2016,72
19,9,2016,113
20,9,2016,131
21,9,2016,133
22,9,2016,134
23,9,2016,145
24,9,2016,124
25,9,2016,81
26,9,2016,131
27,9,2016,129
28,9,2016,135
29,9,2016,121
30,9,2016,111
1,10,2016,111
2,10,2016,94
3,10,2016,140
4,10,2016,130
5,10,2016,128
6,10,2016,144
7,10,2016,171
8,10,2016,128
9,10,2016,89
10,10,2016,132
11,10,2016,130
12,10,2016,141
13,10,2016,104
14,10,2016,135
15,10,2016,112
16,10,2016,76
17,10,2016,68
18,10,2016,154
19,10,2016,123
20,10,2016,115
21,10,2016,144
22,10,2016,107
23,10,2016,87
24,10,2016,127
25,10,2016,130
26,10,2016,108
27,10,2016,147
28,10,2016,151
29,10,2016,125
30,10,2016,77
31,10,2016,126
1,11,2016,137
2,11,2016,128
3,11,2016,140
4,11,2016,134
5,11,2016,109
6,11,2016,78
7,11,2016,65
8,11,2016,127
9,11,2016,113
10,11,2016,117
11,11,2016,132
12,11,2016,121
13,11,2016,74
14,11,2016,61
15,11,2016,150
16,11,2016,116
17,11,2016,138
18,11,2016,146
19,11,2016,118
20,11,2016,65
21,11,2016,165
22,11,2016,109
23,11,2016,139
24,11,2016,115
25,11,2016,148
26,11,2016,110
27,11,2016,78
28,11,2016,118
29,11,2016,101
30,11,2016,123
1,12,2016,88
2,12,2016,132
3,12,2016,106
4,12,2016,81
5,12,2016,138
6,12,2016,118
7,12,2016,124
8,12,2016,63
9,12,2016,112
10,12,2016,120
11,12,2016,80
12,12,2016,115
13,12,2016,115
14,12,2016,109
15,12,2016,126
16,12,2016,152
17,12,2016,137
18,12,2016,86
19,12,2016,127
20,12,2016,144
21,12,2016,158
22,12,2016,118
23,12,2016,128
24,12,2016,87
25,12,2016,62
26,12,2016,95
27,12,2016,102
28,12,2016,113
29,12,2016,95
30,12,2016,119
31,12,2016,79
1,1,2017,69
2,1,2017,77
3,1,2017,84
4,1,2017,72
5,1,2017,98
6,1,2017,70
7,1,2017,82
8,1,2017,49
9,1,2017,44
10,1,2017,91
11,1,2017,113
12,1,2017,86
13,1,2017,126
14,1,2017,103
15,1,2017,80
16,1,2017,159
17,1,2017,112
18,1,2017,103
19,1,2017,127
20,1,2017,125
21,1,2017,99
22,1,2017,70
23,1,2017,117
24,1,2017,131
25,1,2017,90
26,1,2017,119
27,1,2017,150
28,1,2017,95
29,1,2017,59
30,1,2017,110
31,1,2017,138
1,2,2017,110
2,2,2017,126
3,2,2017,139
4,2,2017,114
5,2,2017,88
6,2,2017,119
7,2,2017,146
8,2,2017,129
9,2,2017,119
10,2,2017,147
11,2,2017,102
12,2,2017,69
13,2,2017,94
14,2,2017,127
15,2,2017,117
16,2,2017,126
17,2,2017,127
18,2,2017,134
19,2,2017,67
20,2,2017,147
21,2,2017,154
22,2,2017,153
23,2,2017,130
24,2,2017,140
25,2,2017,131
26,2,2017,71
27,2,2017,125
28,2,2017,134
1,3,2017,125
2,3,2017,108
3,3,2017,101
4,3,2017,127
5,3,2017,67
6,3,2017,104
7,3,2017,137
8,3,2017,163
9,3,2017,136
10,3,2017,124
11,3,2017,116
12,3,2017,65
13,3,2017,105
14,3,2017,134
15,3,2017,121
16,3,2017,127
17,3,2017,117
18,3,2017,99
19,3,2017,70
20,3,2017,64
21,3,2017,141
22,3,2017,113
23,3,2017,80
24,3,2017,121
25,3,2017,95
26,3,2017,87
27,3,2017,106
28,3,2017,123
29,3,2017,124
30,3,2017,155
31,3,2017,143
1,4,2017,141
2,4,2017,63
3,4,2017,149
4,4,2017,121
5,4,2017,112
6,4,2017,130
7,4,2017,151
8,4,2017,108
9,4,2017,63
10,4,2017,128
11,4,2017,99
12,4,2017,147
13,4,2017,52
14,4,2017,42
15,4,2017,71
16,4,2017,52
17,4,2017,103
18,4,2017,135
19,4,2017,104
20,4,2017,127
21,4,2017,89
22,4,2017,109
23,4,2017,77
24,4,2017,126
25,4,2017,139
26,4,2017,160
27,4,2017,113
28,4,2017,146
29,4,2017,119
30,4,2017,60
1,5,2017,82
2,5,2017,164
3,5,2017,120
4,5,2017,118
5,5,2017,135
6,5,2017,129
7,5,2017,55
8,5,2017,131
9,5,2017,122
10,5,2017,117
11,5,2017,115
12,5,2017,138
13,5,2017,110
14,5,2017,97
15,5,2017,144
16,5,2017,116
